assetKey,projectKey,locationKey
AustraliaJohndilo,AustraliaCamden Gas,AustraliaPPL 1 (Johndilo CBM)
AustraliaSage,AustraliaSage,AustraliaWA-254-P (Sage)
AustraliaJacaranda Ridge,AustraliaOtway Petroleum project,AustraliaPEL 32 (Limestone Ridge)
AustraliaCadell,AustraliaCadell,AustraliaTP/7 P4
AustraliaSeamer,AustraliaSeamer,AustraliaPPL 12 (Seamer)
AustraliaAntiope,AustraliaZola,AustraliaWA-290-P R1
AustraliaCorvus,AustraliaCorvus,AustraliaWA-246-P (Corvus)
AustraliaCrux,AustraliaCrux-Libra,AustraliaAC/P23 (Crux)
AustraliaPrometheus/Rubicon,AustraliaPrometheus,AustraliaWA-278-P (Prometheus)
AustraliaIchthys (Brewster+Plover),AustraliaIchthys,AustraliaWA-285-P (Gorgonichthys)
AustraliaRed Hill,AustraliaATP 364-P (Red Hill),AustraliaRed Hill
AustraliaBlencathra,AustraliaBlencathra,AustraliaTR/3
AustraliaMaintop 2,AustraliaMaintop 2,AustraliaATP 337-P (Sardine Creek)
AustraliaChamois,AustraliaChamois,AustraliaWA-261-P (Chamois)
AustraliaArgus,AustraliaArgus,AustraliaAC/RL8
AustraliaTusk,AustraliaTusk,AustraliaWA-246-P (Tusk)
AustraliaAndrew,AustraliaAndrew,AustraliaATP 647-P (Andrew)
AustraliaIago,AustraliaWheatstone,AustraliaWA-16-R (Iago)
AustraliaDerrilyn/Toparoa,AustraliaDerrilyn,AustraliaDerrilyn
AustraliaMcIntee,AustraliaMcIntee,AustraliaPPL 06 (McIntee)
AustraliaTregony,AustraliaTregony,AustraliaPPL 07 (Tregony)
AustraliaBerwyndale,AustraliaQCLNG Project,AustraliaATP 632-P (Berwyndale)
AustraliaNaylor,AustraliaOtwan Gas,AustraliaPEP 154 (Lavers)
AustraliaThylacine,AustraliaOtway Gas,AustraliaT/30P (Thylacine)
AustraliaDundee,AustraliaDundee,AustraliaATP 676-P (Dundee)
AustraliaTardrum,AustraliaTardrum,AustraliaATP 685-P (Tardrum)
AustraliaSpring Grove 2,AustraliaSpring Grove 2,AustraliaATP 471-P (Spring Grove 2)
AustraliaLimestone Ridge,AustraliaLimestone Ridge,AustraliaPRL 2 (Vic)
AustraliaBlacktip,AustraliaBlacktip,AustraliaWA-279-P (Blacktip)
AustraliaTalinga,AustraliaAustralia Pacific LNG,AustraliaATP 692-P (Talinga)
AustraliaHovea,AustraliaHovea,AustraliaL 01 (Hovea)
AustraliaCliff Head,AustraliaCliff Head,AustraliaWA-286-P (Cliff Head)
AustraliaLongswamp,AustraliaLongswamp,AustraliaPL(A) 260
AustraliaPlainview,AustraliaATP 676-P,AustraliaPlainview
AustraliaAcrasia,AustraliaAcrasia,AustraliaPPL 203 (Acrasia)
AustraliaRyan,AustraliaRyan,AustraliaRyan
AustraliaKogan North,AustraliaKogan North,AustraliaPL 194 (Kogan North)
AustraliaTipton West,AustraliaTipton West,AustraliaPL 198 (Tipton West)
AustraliaFriendly Hill,AustraliaFriendly Hill,AustraliaATP 584-P (Friendly Hill)
AustraliaUwalla,AustraliaUwalla,AustraliaATP 606-P (Uwalla)
AustraliaSellicks,AustraliaSellicks,AustraliaPPL 204 (Sellicks)
AustraliaAldinga,AustraliaAldinga,AustraliaPEL 95 (Aldinga)
AustraliaCasino- Henry (uncontracted),AustraliaCasino,AustraliaVIC/P44 (Casino)
AustraliaClematis Creek,AustraliaClematis Creek,AustraliaATP 526-P (Midnight Creek)
AustraliaMeenawarra,AustraliaMeenawarra,AustraliaATP 683-P (Meenawarra)
AustraliaTaunton,AustraliaAirlie Island,AustraliaTL/2 (Taunton 2)
AustraliaMoranbah,AustraliaMoranbah Gas,AustraliaPL 191 (Moranbah Gas project)
AustraliaDaandine,AustraliaDaandine,AustraliaATP 790 (Daandine)
